pitcher,balls,strikes,pitch_label,pitch_count,count_total_pitches,pitch_ratio
434378,0,0,FF,310,640,0.484375
434378,0,0,CU,128,640,0.2
434378,0,0,SL,99,640,0.1546875
434378,0,0,CH,59,640,0.0921875
434378,0,0,ST,42,640,0.065625
434378,0,0,SI,2,640,0.003125
434378,0,1,FF,148,335,0.4417910447761194
434378,0,1,SL,81,335,0.2417910447761194
434378,0,1,CU,55,335,0.16417910447761194
434378,0,1,CH,26,335,0.07761194029850746
434378,0,1,ST,22,335,0.06567164179104477
434378,0,1,SI,3,335,0.008955223880597015
434378,0,2,SL,78,197,0.39593908629441626
434378,0,2,FF,57,197,0.2893401015228426
434378,0,2,CH,23,197,0.116751269035533
434378,0,2,ST,19,197,0.09644670050761421
434378,0,2,CU,18,197,0.09137055837563451
434378,0,2,SI,2,197,0.01015228426395939
434378,1,0,FF,112,236,0.4745762711864407
434378,1,0,SL,47,236,0.19915254237288135
434378,1,0,CU,38,236,0.16101694915254236
434378,1,0,CH,29,236,0.1228813559322034
434378,1,0,ST,9,236,0.038135593220338986
434378,1,0,SI,1,236,0.00423728813559322
434378,1,1,FF,110,238,0.46218487394957986
434378,1,1,SL,49,238,0.20588235294117646
434378,1,1,CU,43,238,0.18067226890756302
434378,1,1,ST,21,238,0.08823529411764706
434378,1,1,CH,15,238,0.06302521008403361
434378,1,2,FF,95,256,0.37109375
434378,1,2,SL,77,256,0.30078125
434378,1,2,ST,34,256,0.1328125
434378,1,2,CU,30,256,0.1171875
434378,1,2,CH,18,256,0.0703125
434378,1,2,SI,2,256,0.0078125
434378,2,0,FF,41,72,0.5694444444444444
434378,2,0,SL,18,72,0.25
434378,2,0,CH,6,72,0.08333333333333333
434378,2,0,CU,4,72,0.05555555555555555
434378,2,0,ST,3,72,0.041666666666666664
434378,2,1,FF,58,112,0.5178571428571429
434378,2,1,SL,25,112,0.22321428571428573
434378,2,1,CU,19,112,0.16964285714285715
434378,2,1,CH,8,112,0.07142857142857142
434378,2,1,ST,2,112,0.017857142857142856
434378,2,2,FF,92,235,0.39148936170212767
434378,2,2,SL,66,235,0.28085106382978725
434378,2,2,ST,34,235,0.14468085106382977
434378,2,2,CH,22,235,0.09361702127659574
434378,2,2,CU,21,235,0.08936170212765958
434378,3,0,FF,21,28,0.75
434378,3,0,SL,5,28,0.17857142857142858
434378,3,0,CH,1,28,0.03571428571428571
434378,3,0,ST,1,28,0.03571428571428571
434378,3,1,FF,33,48,0.6875
434378,3,1,SL,11,48,0.22916666666666666
434378,3,1,CU,3,48,0.0625
434378,3,1,CH,1,48,0.020833333333333332
434378,3,2,FF,62,128,0.484375
434378,3,2,SL,41,128,0.3203125
434378,3,2,CU,12,128,0.09375
434378,3,2,ST,8,128,0.0625
434378,3,2,CH,5,128,0.0390625
445276,0,0,FC,215,225,0.9555555555555556
445276,0,0,SL,7,225,0.03111111111111111
