pitcher,balls,strikes,pitch_label,pitch_count,count_total_pitches,pitch_ratio
405395,0,0,OTHER,3.15,3.15,1.0
405395,0,1,CU,0.9,1.35,0.6666666666666666
405395,0,1,OTHER,0.45,1.35,0.3333333333333333
405395,0,2,CU,0.9,0.9,1.0
405395,1,0,OTHER,1.35,1.8,0.75
405395,1,0,CU,0.45,1.8,0.25
405395,1,1,OTHER,0.9,1.35,0.6666666666666666
405395,1,1,CU,0.45,1.35,0.3333333333333333
405395,1,2,CU,0.9,0.9,1.0
405395,2,0,OTHER,0.9,0.9,1.0
405395,2,1,OTHER,0.9,0.9,1.0
405395,3,0,OTHER,0.45,0.45,1.0
405395,3,1,OTHER,0.45,0.45,1.0
424144,0,0,SI,9.6,18.15,0.5289256198347108
424144,0,0,SL,6.6,18.15,0.36363636363636365
424144,0,0,FF,1.95,18.15,0.10743801652892562
424144,0,1,SI,6.3,10.05,0.626865671641791
424144,0,1,SL,2.7,10.05,0.26865671641791045
424144,0,1,FF,1.05,10.05,0.1044776119402985
424144,0,2,SL,3.3,5.25,0.6285714285714286
424144,0,2,SI,1.5,5.25,0.2857142857142857
424144,0,2,FF,0.45,5.25,0.08571428571428572
424144,1,0,SI,5.25,5.7,0.9210526315789473
424144,1,0,FF,0.45,5.7,0.07894736842105263
424144,1,1,SI,1.8,3.45,0.5217391304347826
424144,1,1,SL,1.05,3.45,0.30434782608695654
424144,1,1,FF,0.6,3.45,0.17391304347826086
424144,1,2,SI,1.8,3.9,0.46153846153846156
424144,1,2,SL,1.8,3.9,0.46153846153846156
424144,1,2,FF,0.3,3.9,0.07692307692307693
424144,2,0,SI,1.2,1.5,0.7999999999999999
424144,2,0,SL,0.3,1.5,0.19999999999999998
424144,2,1,SI,1.05,1.35,0.7777777777777778
424144,2,1,FF,0.3,1.35,0.2222222222222222
424144,2,2,SI,1.5,3.15,0.4761904761904762
424144,2,2,SL,1.35,3.15,0.4285714285714286
424144,2,2,FF,0.3,3.15,0.09523809523809523
424144,3,0,SI,0.45,0.45,1.0
424144,3,1,SI,0.45,0.45,1.0
424144,3,2,SL,0.45,0.75,0.6
424144,3,2,SI,0.3,0.75,0.39999999999999997
425794,0,0,SI,345.6,922.05,0.3748169838945828
425794,0,0,CU,240.75,922.05,0.2611029770619815
425794,0,0,FC,219.65,922.05,0.23821918551054716
425794,0,0,FF,67.25,922.05,0.07293530719592213
425794,0,0,CH,34.55,922.05,0.03747085299061873
425794,0,0,OTHER,14.25,922.05,0.015454693346347814
425794,0,1,CU,148.55,462.55,0.3211544697870501
425794,0,1,FC,123.85000000000001,462.55,0.26775483731488486
425794,0,1,SI,100.85,462.55,0.21803048319100635
425794,0,1,CH,55.4,462.55,0.11977083558534211
425794,0,1,FF,29.85,462.55,0.06453356393903362
425794,0,1,OTHER,3.6,462.55,0.0077829423846070694
425794,0,1,SL,0.45,462.55,0.0009728677980758837
425794,0,2,CU,83.7,196.45,0.426062611351489
425794,0,2,SI,56.0,196.45,0.2850598116569102
425794,0,2,FC,31.35,196.45,0.15958259099007382
425794,0,2,FF,20.45,196.45,0.10409773479256809
425794,0,2,CH,3.4,196.45,0.017307202850598117
425794,0,2,SL,1.1,196.45,0.0055993891575464505
425794,0,2,OTHER,0.45,196.45,0.0022906592008144567
425794,1,0,FC,102.55,364.1,0.2816533919252952
425794,1,0,SI,96.65,364.1,0.2654490524581159
425794,1,0,CU,92.85,364.1,0.25501235924196647
425794,1,0,CH,41.45,364.1,0.11384235100247185
425794,1,0,FF,30.150000000000002,364.1,0.08280692117550123
425794,1,0,OTHER,0.45,364.1,0.0012359241966492722
425794,1,1,CU,118.05,363.85,0.324446887453621
425794,1,1,SI,97.15,363.85,0.2670056341899134
425794,1,1,FC,82.65,363.85,0.22715404699738903
425794,1,1,CH,36.7,363.85,0.10086574137694104
425794,1,1,FF,27.75,363.85,0.07626769273052081
425794,1,1,OTHER,0.9,363.85,0.0024735467912601347
425794,1,1,SL,0.65,363.85,0.0017864504603545416
425794,1,2,CU,113.45,290.4,0.390668044077135
425794,1,2,SI,82.15,290.4,0.28288567493112954
425794,1,2,FC,47.0,290.4,0.16184573002754823
425794,1,2,FF,39.75,290.4,0.1368801652892562
425794,1,2,CH,5.2,290.4,0.01790633608815427
425794,1,2,SL,2.4,290.4,0.008264462809917356
425794,1,2,OTHER,0.45,290.4,0.0015495867768595044
425794,2,0,FC,40.65,125.45,0.32403347947389394
425794,2,0,CU,32.3,125.45,0.2574730968513352
425794,2,0,SI,31.55,125.45,0.251494619370267
425794,2,0,FF,15.9,125.45,0.1267437225986449
425794,2,0,CH,5.05,125.45,0.040255081705858904
425794,2,1,CU,67.6,202.45,0.333909607310447
425794,2,1,FC,55.85,202.45,0.27587058532971104
425794,2,1,SI,51.15,202.45,0.25265497653741664
425794,2,1,FF,14.0,202.45,0.06915287725364287
425794,2,1,CH,13.85,202.45,0.06841195356878242
425794,2,2,CU,104.6,279.4,0.3743736578382248
425794,2,2,SI,87.65,279.4,0.3137079455977094
425794,2,2,FC,42.45,279.4,0.15193271295633504
425794,2,2,FF,40.3,279.4,0.14423765211166786
425794,2,2,CH,4.4,279.4,0.015748031496062995
425794,3,0,FF,16.55,32.5,0.5092307692307693
425794,3,0,SI,9.95,32.5,0.3061538461538461
425794,3,0,FC,3.55,32.5,0.10923076923076923
425794,3,0,CU,2.45,32.5,0.07538461538461538
425794,3,1,FC,31.55,80.1,0.3938826466916355
425794,3,1,CU,20.45,80.1,0.25530586766541824
425794,3,1,SI,18.8,80.1,0.23470661672908866
425794,3,1,FF,9.0,80.1,0.11235955056179776
425794,3,1,CH,0.3,80.1,0.003745318352059925
425794,3,2,CU,72.95,171.2,0.4261098130841122
425794,3,2,SI,38.7,171.2,0.2260514018691589
425794,3,2,FC,33.5,171.2,0.19567757009345796
425794,3,2,FF,24.95,171.2,0.14573598130841123
425794,3,2,CH,1.1,171.2,0.006425233644859814
425844,0,0,FF,354.85,844.6,0.4201397111058489
425844,0,0,CU,166.7,844.6,0.19737153682216432
425844,0,0,SL,103.9,844.6,0.12301681269239877
425844,0,0,CH,84.4,844.6,0.09992896045465309
425844,0,0,SI,78.25,844.6,0.09264740705659484
425844,0,0,FC,53.45,844.6,0.06328439497987214
425844,0,0,OTHER,3.05,844.6,0.0036111768884679136
425844,0,1,FF,153.7,442.15000000000003,0.3476195861133099
425844,0,1,CH,87.5,442.15000000000003,0.19789664141128574
425844,0,1,SL,60.4,442.15000000000003,0.13660522447133325
425844,0,1,CU,54.9,442.15000000000003,0.12416600701119529
425844,0,1,SI,52.35,442.15000000000003,0.11839873346149496
425844,0,1,FC,32.1,442.15000000000003,0.07259979644916884
425844,0,1,OTHER,1.2,442.15000000000003,0.002714011082211919
425844,0,2,FF,42.85,171.5,0.24985422740524782
425844,0,2,CH,39.7,171.5,0.2314868804664723
425844,0,2,SL,38.65,171.5,0.22536443148688046
425844,0,2,CU,20.95,171.5,0.12215743440233236
425844,0,2,FC,19.25,171.5,0.11224489795918367
425844,0,2,SI,10.1,171.5,0.05889212827988338
425844,1,0,FF,94.8,288.5,0.3285961871750433
425844,1,0,CH,49.7,288.5,0.17227036395147316
425844,1,0,CU,42.0,288.5,0.14558058925476602
425844,1,0,SI,40.85,288.5,0.1415944540727903
425844,1,0,SL,34.3,288.5,0.11889081455805892
425844,1,0,FC,26.55,288.5,0.09202772963604854
425844,1,0,OTHER,0.3,288.5,0.0010398613518197574
