pitcher,player_name,pitch_label,pitch_count,pitcher_total_pitches,pitch_ratio
434378,"Verlander, Justin",FF,1139,2525,0.4510891089108911
434378,"Verlander, Justin",SL,597,2525,0.23643564356435642
434378,"Verlander, Justin",CU,371,2525,0.14693069306930692
434378,"Verlander, Justin",CH,213,2525,0.08435643564356436
434378,"Verlander, Justin",ST,195,2525,0.07722772277227723
434378,"Verlander, Justin",SI,10,2525,0.0039603960396039604
445276,"Jansen, Kenley",FC,683,838,0.815035799522673
445276,"Jansen, Kenley",SI,75,838,0.08949880668257756
445276,"Jansen, Kenley",SL,53,838,0.06324582338902147
445276,"Jansen, Kenley",ST,27,838,0.032219570405727926
445926,"Chavez, Jesse",FC,53,130,0.4076923076923077
445926,"Chavez, Jesse",SI,47,130,0.36153846153846153
445926,"Chavez, Jesse",CH,20,130,0.15384615384615385
445926,"Chavez, Jesse",SL,8,130,0.06153846153846154
445926,"Chavez, Jesse",CU,2,130,0.015384615384615385
448179,"Hill, Rich",FF,63,171,0.3684210526315789
448179,"Hill, Rich",CU,59,171,0.34502923976608185
448179,"Hill, Rich",FC,27,171,0.15789473684210525
448179,"Hill, Rich",SI,11,171,0.06432748538011696
448179,"Hill, Rich",ST,10,171,0.05847953216374269
448179,"Hill, Rich",CH,1,171,0.005847953216374269
450203,"Morton, Charlie",CU,953,2468,0.38614262560777957
450203,"Morton, Charlie",FF,670,2468,0.2714748784440843
450203,"Morton, Charlie",SI,373,2468,0.15113452188006482
450203,"Morton, Charlie",CH,244,2468,0.09886547811993517
450203,"Morton, Charlie",FC,228,2468,0.09238249594813615
453286,"Scherzer, Max",FF,655,1345,0.48698884758364314
453286,"Scherzer, Max",SL,322,1345,0.23940520446096655
453286,"Scherzer, Max",CH,188,1345,0.13977695167286244
453286,"Scherzer, Max",CU,159,1345,0.11821561338289963
453286,"Scherzer, Max",FC,21,1345,0.015613382899628252
455119,"Martin, Chris",FC,213,593,0.3591905564924115
455119,"Martin, Chris",FF,179,593,0.30185497470489037
455119,"Martin, Chris",FS,105,593,0.17706576728499157
455119,"Martin, Chris",SI,84,593,0.14165261382799327
455119,"Martin, Chris",ST,12,593,0.02023608768971332
458677,"Wilson, Justin",FF,384,824,0.46601941747572817
458677,"Wilson, Justin",SL,277,824,0.33616504854368934
458677,"Wilson, Justin",FC,122,824,0.14805825242718446
458677,"Wilson, Justin",FS,41,824,0.04975728155339806
471911,"Carrasco, Carlos",SL,184,739,0.2489851150202977
471911,"Carrasco, Carlos",SI,164,739,0.2219215155615697
471911,"Carrasco, Carlos",CH,159,739,0.21515561569688768
471911,"Carrasco, Carlos",FF,153,739,0.2070365358592693
471911,"Carrasco, Carlos",CU,77,739,0.10419485791610285
471911,"Carrasco, Carlos",ST,2,739,0.0027063599458728013
472610,"García, Luis",SI,349,800,0.43625
472610,"García, Luis",ST,262,800,0.3275
472610,"García, Luis",FS,174,800,0.2175
472610,"García, Luis",FF,15,800,0.01875
476594,"Stock, Robert",FC,26,59,0.4406779661016949
476594,"Stock, Robert",SI,19,59,0.3220338983050847
476594,"Stock, Robert",FF,6,59,0.1016949152542373
476594,"Stock, Robert",ST,5,59,0.0847457627118644
476594,"Stock, Robert",CH,3,59,0.05084745762711865
477132,"Kershaw, Clayton",SL,732,1770,0.4135593220338983
477132,"Kershaw, Clayton",FF,612,1770,0.34576271186440677
477132,"Kershaw, Clayton",CU,316,1770,0.17853107344632768
477132,"Kershaw, Clayton",FS,98,1770,0.05536723163841808
477132,"Kershaw, Clayton",SI,9,1770,0.005084745762711864
477132,"Kershaw, Clayton",OTHER,3,1770,0.001694915254237288
489119,"Miley, Wade",FC,70,205,0.34146341463414637
489119,"Miley, Wade",CH,49,205,0.23902439024390243
489119,"Miley, Wade",FF,45,205,0.21951219512195122
489119,"Miley, Wade",SI,31,205,0.15121951219512195
489119,"Miley, Wade",ST,7,205,0.03414634146341464
489119,"Miley, Wade",SL,2,205,0.00975609756097561
489119,"Miley, Wade",CU,1,205,0.004878048780487805
489446,"Yates, Kirby",FF,413,715,0.5776223776223777
489446,"Yates, Kirby",FS,302,715,0.4223776223776224
493603,"Ottavino, Adam",SI,15,42,0.35714285714285715
493603,"Ottavino, Adam",ST,14,42,0.3333333333333333
493603,"Ottavino, Adam",FF,10,42,0.23809523809523808
493603,"Ottavino, Adam",FC,3,42,0.07142857142857142
500743,"Rojas, Miguel",OTHER,69,69,1.0
500779,"Quintana, Jose",SI,953,2174,0.43836246550137997
500779,"Quintana, Jose",CH,482,2174,0.22171113155473782
500779,"Quintana, Jose",CU,298,2174,0.13707451701931922
500779,"Quintana, Jose",FF,255,2174,0.11729530818767249
500779,"Quintana, Jose",SV,186,2174,0.08555657773689053
502043,"Gibson, Kyle",SI,100,280,0.35714285714285715
502043,"Gibson, Kyle",ST,53,280,0.18928571428571428
502043,"Gibson, Kyle",CH,36,280,0.12857142857142856
502043,"Gibson, Kyle",CU,31,280,0.11071428571428571
502043,"Gibson, Kyle",FC,29,280,0.10357142857142858
502043,"Gibson, Kyle",FF,26,280,0.09285714285714286
502043,"Gibson, Kyle",SL,5,280,0.017857142857142856
502085,"Robertson, David",FC,162,319,0.5078369905956113
502085,"Robertson, David",KC,108,319,0.3385579937304075
502085,"Robertson, David",SL,30,319,0.09404388714733543
502085,"Robertson, David",SI,16,319,0.050156739811912224
502085,"Robertson, David",CH,3,319,0.009404388714733543
506433,"Darvish, Yu",SI,236,1179,0.2001696352841391
506433,"Darvish, Yu",FF,198,1179,0.16793893129770993
506433,"Darvish, Yu",CU,180,1179,0.15267175572519084
506433,"Darvish, Yu",SL,163,1179,0.13825275657336725
506433,"Darvish, Yu",FC,139,1179,0.11789652247667515
506433,"Darvish, Yu",FS,121,1179,0.10262934690415607
506433,"Darvish, Yu",ST,117,1179,0.09923664122137404
506433,"Darvish, Yu",KC,15,1179,0.01272264631043257
506433,"Darvish, Yu",CH,8,1179,0.006785411365564037
506433,"Darvish, Yu",OTHER,2,1179,0.0016963528413910093
518397,"Alexander, Scott",SI,180,278,0.6474820143884892
518397,"Alexander, Scott",SL,59,278,0.21223021582733814
518397,"Alexander, Scott",CH,39,278,0.14028776978417265
518489,"Brasier, Ryan",FF,134,374,0.3582887700534759
518489,"Brasier, Ryan",SL,129,374,0.3449197860962567
518489,"Brasier, Ryan",SI,64,374,0.1711229946524064
518489,"Brasier, Ryan",FC,47,374,0.12566844919786097
518585,"Cruz, Fernando",FS,489,821,0.5956151035322778
518585,"Cruz, Fernando",FF,175,821,0.21315468940316687
518585,"Cruz, Fernando",SI,109,821,0.13276492082825822
518585,"Cruz, Fernando",SL,48,821,0.058465286236297195
518876,"Kelly, Merrill",CH,752,2748,0.27365356622998543
518876,"Kelly, Merrill",FF,624,2748,0.22707423580786026
518876,"Kelly, Merrill",FC,566,2748,0.2059679767103348
518876,"Kelly, Merrill",SI,355,2748,0.12918486171761281
518876,"Kelly, Merrill",CU,266,2748,0.09679767103347889
518876,"Kelly, Merrill",SL,185,2748,0.0673216885007278
518886,"Kimbrel, Craig",FF,148,230,0.6434782608695652
518886,"Kimbrel, Craig",KC,40,230,0.17391304347826086
518886,"Kimbrel, Craig",ST,29,230,0.12608695652173912
518886,"Kimbrel, Craig",CH,12,230,0.05217391304347826
518886,"Kimbrel, Craig",FC,1,230,0.004347826086956522
519008,"McFarland, T.J.",SI,124,237,0.5232067510548524
519008,"McFarland, T.J.",ST,86,237,0.3628691983122363
519008,"McFarland, T.J.",CH,26,237,0.10970464135021098
519008,"McFarland, T.J.",FF,1,237,0.004219409282700422
519141,"Pomeranz, Drew",FF,636,824,0.7718446601941747
519141,"Pomeranz, Drew",KC,188,824,0.22815533980582525
519151,"Pressly, Ryan",FF,226,604,0.3741721854304636
519151,"Pressly, Ryan",CU,147,604,0.2433774834437086
519151,"Pressly, Ryan",SL,123,604,0.20364238410596028
519151,"Pressly, Ryan",SI,75,604,0.12417218543046357
519151,"Pressly, Ryan",CH,33,604,0.054635761589403975
519242,"Sale, Chris",SL,925,1947,0.4750898818695429
519242,"Sale, Chris",FF,821,1947,0.4216743708269132
519242,"Sale, Chris",CH,136,1947,0.06985105290190036
519242,"Sale, Chris",SI,65,1947,0.03338469440164355
519326,"Strickland, Hunter",FF,114,332,0.3433734939759036
519326,"Strickland, Hunter",SL,108,332,0.3253012048192771
519326,"Strickland, Hunter",ST,44,332,0.13253012048192772
519326,"Strickland, Hunter",SI,38,332,0.1144578313253012
519326,"Strickland, Hunter",CH,28,332,0.08433734939759036
521230,"Hendriks, Liam",FF,128,232,0.5517241379310345
521230,"Hendriks, Liam",SL,76,232,0.3275862068965517
