pitcher,p_throws
434378,R
445276,R
445926,R
448179,L
450203,R
453286,R
455119,R
458677,L
471911,R
472610,R
476594,R
477132,L
489119,L
489446,R
493603,R
500743,R
500779,L
502043,R
502085,R
506433,R
518397,L
518489,R
518585,R
518876,R
518886,R
519008,L
519141,L
519151,R
519242,L
519326,R
521230,R
527048,L
534910,R
541640,R
542881,L
542888,R
542932,R
543056,L
543101,R
543135,R
543243,R
543294,R
543391,R
543518,R
543592,R
543859,R
544150,R
547001,R
547179,R
547184,R
547973,L
548384,L
552640,R
554340,R
554430,R
554431,L
570632,R
571466,R
571510,L
571578,L
571657,R
571760,L
571771,R
571912,R
571927,L
571945,R
571946,R
571948,L
572955,R
573009,L
573124,L
573186,R
573204,L
573262,L
579328,L
592094,R
592155,L
592254,R
592332,R
592351,R
592426,R
592454,R
592662,L
592773,R
592779,R
592791,R
592836,R
592866,R
593423,R
593576,R
593833,R
593958,L
593974,L
594580,L
594798,R
594902,R
595014,R
595345,L
595897,R
595928,R
595978,R
596001,R
596103,R
596112,R
596133,R
596142,R
596271,R
596295,L
600917,R
601713,R
605130,R
605135,R
605154,R
605177,L
605182,R
605218,R
605242,R
605280,R
605288,R
605347,R
605400,R
605447,R
605452,R
605463,R
605483,L
605488,L
605507,R
605513,R
605540,R
606160,R
606303,R
606930,R
606965,R
606996,L
607067,R
607074,L
607179,R
607192,R
607200,R
607259,R
607455,L
607481,L
607536,L
607625,R
607732,R
608032,R
608331,L
608334,R
608337,R
608371,R
608372,R
608379,R
608566,R
608650,L
608665,R
608671,R
608717,R
608718,L
612434,R
614179,R
615698,R
620443,R
620454,L
621028,R
621051,R
621053,R
621057,R
621107,R
621111,R
621112,R
621114,R
621121,R
621139,R
621199,R
621237,L
621242,R
621244,R
621345,L
621363,L
621366,L
621381,L
621383,L
621512,R
622253,R
622379,R
622491,R
622503,R
622554,R
622569,R
622608,R
622663,R
622761,R
622780,L
622786,R
623149,R
623167,R
623168,R
623211,R
623352,L
623433,R
623437,R
623465,R
623474,R
624133,L
624431,R
624512,R
628317,R
628452,R
640448,R
640451,R
640454,L
640455,L
640462,L
640902,R
641154,R
641302,L
641312,R
641329,R
641343,L
641386,L
641401,R
641482,L
641540,R
641585,R
641656,R
641658,R
641672,R
641745,R
641755,R
641778,L
641793,R
641816,R
641835,L
641927,R
641941,R
642016,R
642048,L
642100,L
642121,R
642133,L
642152,R
642180,R
642207,R
642215,R
642216,R
642232,L
642239,L
642397,L
642520,R
642528,R
642547,R
642585,R
642701,R
642708,R
642759,R
643338,R
643361,R
643377,R
643396,R
643410,R
643511,R
645261,R
645305,R
645444,R
646242,L
647315,R
647336,R
647351,R
650556,R
650633,R
650644,R
650671,L
650893,L
650911,L
655889,R
656186,R
656222,L
656234,R
656240,R
656257,R
656271,L
656288,R
656302,R
656420,R
656427,R
656457,L
656458,L
656464,R
656546,R
656550,R
656557,R
656577,R
656605,R
656629,R
656638,R
656641,L
656686,R
656716,R
656730,R
656731,R
656794,L
656848,R
656849,L
656876,R
656896,R
656945,L
656986,L
657006,L
657024,R
657044,R
657053,R
657097,R
657240,R
657277,R
657376,R
657424,L
657514,L
657571,L
657585,R
657612,L
657649,L
657746,R
657756,R
660271,R
660604,R
660644,R
660730,R
660761,L
660787,R
660825,R
660844,R
660853,R
660896,R
661395,R
661403,R
661527,R
661563,R
662253,R
663158,R
663321,R
663362,R
663372,R
663399,L
663423,R
663432,R
663436,R
663455,L
663460,L
663462,R
663465,L
663474,R
663485,R
663542,L
663546,R
663554,R
663558,L
663559,L
663562,R
663568,R
663574,R
663623,R
663671,R
663687,L
663738,L
663765,R
663767,R
663773,R
663795,R
663804,R
663855,R
663878,R
663893,L
663897,R
663903,R
663941,R
663947,L
663967,R
663969,R
663978,R
663992,L
664062,R
664068,R
664076,L
664123,R
664126,R
664129,R
664139,R
664141,R
664192,L
664199,R
664208,R
664285,L
664294,R
664299,R
664351,R
664353,R
664744,R
664747,R
664849,L
664854,R
664875,R
664948,L
664991,L
665019,R
665152,R
665625,R
665660,R
665665,L
665795,R
665871,R
666120,R
666142,L
666157,L
666168,R
666171,R
666200,L
666214,L
666215,R
666277,R
666374,R
666619,R
666659,R
666661,R
666711,R
666808,R
666974,R
667297,R
667463,L
667755,R
668390,R
668670,R
668674,R
668678,R
668716,R
668820,R
668834,R
668881,R
668909,R
668933,R
668941,L
668964,R
668970,R
668984,R
669020,L
669022,L
669060,R
669062,L
669084,L
669093,R
669145,L
669160,R
669193,R
669194,R
669199,R
669203,R
669211,L
669212,R
669276,L
669302,R
669308,R
669330,R
669358,R
669371,R
669372,R
669373,L
669387,R
669391,R
669422,R
669432,L
669438,R
669449,L
669450,R
669456,R
669459,L
669461,L
669467,R
669620,L
669622,R
669674,L
669684,L
669704,R
669707,R
669711,R
669713,R
669717,R
669721,R
669722,R
669724,R
669854,R
669920,R
669923,R
669947,R
670036,R
670059,R
670102,R
670156,R
670167,R
670174,R
670183,R
670280,R
670329,R
670766,R
670810,R
670912,R
670950,R
670955,R
670970,L
670990,R
671096,L
671106,L
671109,L
671111,L
671131,R
671162,L
671212,R
671305,R
671737,R
671922,R
672282,L
672335,L
672391,R
672456,R
672578,R
672582,L
672710,R
672724,R
672782,R
672841,R
673380,R
673513,L
673540,R
673820,R
673929,R
673965,R
674072,L
674285,R
674370,R
674384,R
674444,R
674841,L
674944,L
675512,R
675540,R
675650,R
675848,R
675911,R
675919,L
675989,R
676051,R
676070,R
676083,R
676092,R
676106,R
676130,R
676206,R
676254,R
676263,L
676272,R
676282,L
676395,L
676428,L
676440,R
676467,L
676475,L
676477,R
676508,R
676510,R
676534,R
676571,L
676604,R
676609,R
676617,R
676661,R
676664,L
676679,R
676680,L
676684,R
676701,R
676702,R
676724,R
676742,R
676755,R
676760,R
676775,R
676801,L
676879,L
676917,R
676961,R
676962,R
676969,R
676974,R
676979,L
677020,L
677161,R
677649,R
677651,R
677865,L
677944,R
677952,R
677955,R
677958,R
677960,L
677961,R
678011,R
678020,R
678022,R
678024,R
678215,R
678226,R
678316,L
678368,R
678394,R
678495,R
678606,L
678692,R
678821,L
678906,R
679358,R
679775,L
679883,R
679885,R
679922,R
680573,R
680604,R
680684,R
680689,R
680694,R
680701,L
680702,R
680704,R
680729,L
680730,L
680732,R
680735,L
680736,L
680742,R
680755,R
680767,R
680837,R
680862,R
680880,R
680885,R
680951,L
681006,L
681146,R
681151,R
681168,R
681190,R
681217,R
681293,R
681343,R
681347,R
681432,L
681517,R
681676,R
681751,R
681799,R
681810,R
681857,R
681867,R
681869,R
681870,L
681882,R
681892,L
681895,L
681911,L
681916,R
681962,R
681982,R
681987,R
682052,L
682120,L
682144,L
682171,R
682243,R
682254,L
682274,R
682515,R
682610,R
682790,R
682825,R
682842,R
682847,R
682989,R
682990,R
682995,L
683004,R
683021,R
683155,R
683175,R
683232,R
683409,R
683618,R
683627,R
683766,R
683769,R
684007,L
684320,R
684974,R
685005,R
685068,R
685107,L
685126,L
685299,R
685314,L
685326,R
685801,R
686218,R
686228,R
686249,R
686563,R
686580,R
686613,R
686642,L
686654,R
686676,R
686701,R
686730,R
686747,L
686751,R
686752,R
686753,R
686790,R
686799,R
686826,R
686930,R
686973,R
686993,R
687003,R
687064,R
687074,R
687075,R
687134,R
687166,R
687209,R
687223,L
687287,L
687330,R
687362,R
687377,R
687396,L
687424,R
687473,R
687589,R
687606,R
687765,R
687830,R
687847,R
687849,R
687863,R
687888,L
687911,L
687922,L
687931,L
688107,L
688138,R
688158,R
688297,R
688497,R
688642,R
689017,R
689147,R
689225,R
689254,L
689266,L
689520,R
689690,R
689958,R
690382,R
690544,L
690829,R
690916,R
690925,R
690928,R
690953,R
690986,L
690990,R
690997,R
691094,R
691172,R
691251,R
691441,R
691548,R
691587,R
691594,R
691769,L
691799,R
691951,L
692024,R
692030,R
692230,R
692285,R
693312,R
693313,R
693433,R
693645,R
693821,R
693855,L
694037,R
694297,R
694335,R
694350,R
694359,R
694361,R
694363,L
694462,R
694477,R
694646,R
694738,R
694819,R
694851,R
694918,R
694973,R
695243,R
695418,R
695445,R
695505,R
695534,R
695549,R
696131,R
696136,L
696147,R
696149,R
696270,R
697812,L
699134,R
699911,R
700187,R
700241,R
700249,L
700270,R
700363,R
700669,R
701121,R
701487,R
701519,R
701542,R
701552,R
701581,R
701656,R
702056,R
702070,L
702352,R
702674,R
702752,R
702795,R
800048,L
800049,R
800311,R
801139,L
801216,R
801403,R
801434,R
802419,R
802686,L
804636,R
805123,R
805299,L
805427,L
805673,R
806185,R
806188,L
806960,R
808963,R
808967,R
813349,L
815083,L
820862,R
829272,L
